Zip,Tested,Cases,Pop
60601,419,62,11110
60602,65,7,1204
60604,54,10,570
60605,915,137,24668
60606,267,40,2308
60607,1183,319,23897
60608,3208,966,82739
60609,2519,905,64906
60610,1137,160,37726
60611,1243,104,28718
60612,2240,438,33472
60613,1314,281,48281
60614,2037,365,66617
60615,1657,263,40603
60616,1748,279,48433
60617,3200,641,84155
60618,2777,659,92084
60619,2923,653,63825
60620,3192,783,72216
60621,1288,356,35912
60622,1782,386,52548
60623,3906,1764,92108
60624,1873,513,38105
60625,2557,811,78651
60626,2070,618,50139
60628,2808,717,72202
60629,4090,1646,113916
60630,1904,441,54093
60631,1325,156,28641
60632,3499,1525,91326
60633,1184,183,12927
60634,3746,827,74298
60636,1259,439,40916
60637,2295,377,49503
60638,2607,684,55026
60639,4262,1740,90407
60640,2179,549,65790
60641,2587,730,71663
60642,619,97,18480
60643,2650,545,49952
60644,2556,746,48648
60645,2363,707,45274
60646,1335,239,27177
60647,2729,703,87291
60649,2277,534,46650
60651,2736,898,64267
60652,1769,516,40959
60653,1633,333,29908
60654,562,106,14875
60655,1350,192,28550
60656,1123,162,27613
60657,1746,232,65996
60659,1414,457,38104
60660,1073,262,42752
60661,251,28,7792
60706,1011,216,23134
60707,1938,466,42920
60803,661,141,22285
60804,3917,1485,84573
60805,570,163,19852
60827,1052,223,27946
